AuthorId,DisplayName,OpenAlexId
186,O. Buchmuller,A5105361452
187,D. Chakraborty,A5055845312
188,P. de Jong,A5107354566
189,G. Dissertori,A5106322700
190,M. d'Onofrio,A5110726497
191,M. Drees,A5050094239
192,S. Eidelman,A5084691841
193,B. Foster,A5054642580
194,H. Gallagher,A5018471587
195,L. Garren,A5108369877
196,H.-J. Gerber,A5110875090
197,G. Gerbier,A5107849268
198,T. Gershon,A5067709716
199,A. Godizov,A5113967187
200,C Grojean,A5074469752
201,B. K. Heltsley,A5046192057
202,A. Höcker,A5107897975
203,J. Holder,A5107901789
204,Annette Holtkamp,A5027959832
205,K.F. Johnson,A5023699633
206,M. Kado,A5014427305
207,Jay Joseph Van Bavel,A5055444532
208,Katherine Baicker,A5042023473
209,Paulo S. Boggio,A5082168520
210,Valerio Capraro,A5068651250
211,Aleksandra Cichocka,A5001068690
212,Mina Cikara,A5017619946
213,Molly J. Crockett,A5014931127
214,Alia J. Crum,A5052244076
215,Karen M. Douglas,A5087650169
216,James Druckman,A5063647785
217,John Drury,A5080252472
218,Oeindrila Dube,A5008239895
219,Naomi Ellemers,A5067477814
220,Eli J. Finkel,A5033733184
221,James H. Fowler,A5082330712
222,Michele J. Gelfand,A5070913945
223,Shihui Han,A5048496931
224,S. Alexander Haslam,A5054793827
225,Jolanda Jetten,A5004337400
226,Shinobu Kitayama,A5025375729
227,Dean Mobbs,A5027144528
228,Lucy E. Napper,A5036547557
229,Dominic J. Packer,A5033653295
230,Gordon Pennycook,A5020533147
231,Ellen Peters,A5040147060
232,Richard E. Petty,A5017989783
233,David G. Rand,A5056499434
234,Stephen Reicher,A5016584129
235,Simone Schnall,A5053589098
236,Azim Shariff,A5040553648
237,Linda J. Skitka,A5079570616
238,Sandra Susan Smith,A5108102095
239,Cass R. Sunstein,A5052372722
240,Nassim Tabri,A5082814826
241,Joshua A. Tucker,A5072046918
242,Sander van der Linden,A5073961643
243,Paul A. M. Van Lange,A5061330788
244,Kim A. Weeden,A5048263486
245,Michael J. A. Wohl,A5083913334
246,Jamil Zaki,A5047315859
247,Sean R. Zion,A5019951719
248,Robb Willer,A5014466973
249,David E. Gordon,A5053113013
250,Gwendolyn Μ. Jang,A5043261925
251,Mehdi Bouhaddou,A5051653899
252,Jiewei Xu,A5072655041
253,Kirsten Obernier,A5016281633
254,Kris M. White,A5041400773
255,Matthew J. O’Meara,A5002654936
256,Veronica V. Rezelj,A5035783463
257,Jeffrey Guo,A5086055110
258,Danielle L. Swaney,A5087550248
259,Tia A. Tummino,A5006908002
260,Ruth Hüttenhain,A5085235302
261,Robyn M. Kaake,A5033570629
262,Alicia Richards,A5080546161
263,Beril Tutuncuoglu,A5005930950
264,Helene Foussard,A5071840380
265,Jyoti Batra,A5041960960
266,Kelsey M. Haas,A5057340945
267,Maya Modak,A5047079775
268,Minkyu Kim,A5082312806
269,Paige Haas,A5072729152
270,Benjamin J. Polacco,A5077747543
271,Hannes Braberg,A5053933707
272,Jacqueline M. Fabius,A5114074484
273,Manon Eckhardt,A5032437409
274,Margaret Soucheray,A5025723984
275,Melanie J. Bennett,A5034709520
276,Merve Çakır,A5083826024
277,Michael McGregor,A5043155983
278,Qiongyu Li,A5011611587
279,Bjoern Meyer,A5088389725
280,Ferdinand Roesch,A5054402382
281,Thomas Vallet,A5058370828
282,Alice Mac Kain,A5056920600
283,Lisa Miorin,A5071789149
284,Elena Moreno,A5034393162
285,Zun Zar Chi Naing,A5011083562
286,Yuan Zhou,A5071256143
287,Shiming Peng,A5101858441
288,Ying Shi,A5101772235
289,Ziyang Zhang,A5100357838
290,Wenqi Shen,A5030981319
291,Ilsa T. Kirby,A5033678312
292,James E. Melnyk,A5046273752
293,John S. Chorba,A5048732014
294,Kevin Lou,A5045027460
295,Shizhong Dai,A5036687007
296,Inigo Barrio‐Hernandez,A5042635343
297,Danish Memon,A5018028692
298,Claudia Hernández-Armenta,A5055117156
299,Jiankun Lyu,A5005823028
300,Christopher J.P. Mathy,A5040648502
301,Tina Perica,A5048337860
302,Kala Bharath Pilla,A5070380170
303,Sai J. Ganesan,A5079823221
304,Daniel J. Saltzberg,A5009099884
305,Ramachandran Rakesh,A5045998326
306,Liu Xi,A5100632342
307,Sara Brin Rosenthal,A5065675756
308,Lorenzo Calviello,A5062544718
309,Srivats Venkataramanan,A5088235616
310,José Liboy-Lugo,A5067497600
311,Yizhu Lin,A5058623063
312,Xi‐Ping Huang,A5089436626
313,Yongfeng Liu,A5100630231
314,Stephanie A. Wankowicz,A5046728827
315,Markus‐Frederik Bohn,A5077404683
316,Maliheh Safari,A5065609905
317,Fatima S. Ugur,A5085396918
318,Cassandra Koh,A5061467634
319,Nastaran Sadat Savar,A5056466713
320,Quang Tran,A5021784087
321,Djoshkun Shengjuler,A5019871396
322,Sabrina Johanna Fletcher,A5016010348
323,Michael C. O’Neal,A5050972732
324,Yiming Cai,A5057938987
325,Jason C. Chang,A5056154892
326,David Broadhurst,A5089438567
327,Saker Klippsten,A5008567873
328,Phillip P. Sharp,A5028002571
329,Nicole A. Wenzell,A5077901651
330,Duygu Kuzuoğlu‐Öztürk,A5034512246
331,Hao‐Yuan Wang,A5011853599
332,Raphael Trenker,A5003054273
333,Janet M. Young,A5058847171
334,Devin A. Cavero,A5014996676
335,Joseph Hiatt,A5102959431
336,Theodore L. Roth,A5067971060
337,Ujjwal Rathore,A5087874969
338,Advait Subramanian,A5077675438
339,Julia Noack,A5055600834
340,Mathieu Hubert,A5090374054
341,Robert M. Stroud,A5011428136
342,Alan D. Frankel,A5011890947
343,Oren S. Rosenberg,A5048039251
344,Kliment A. Verba,A5052608216
345,David A. Agard,A5081416783
346,Mélanie Ott,A5068579765
347,Michael Emerman,A5051442994
348,Natalia Jura,A5026237036
349,Ben Mildenhall,A5083849742
350,Pratul P. Srinivasan,A5061519579
351,Matthew Tancik,A5058341556
352,Jonathan T. Barron,A5024117395
353,Ravi Ramamoorthi,A5034754633
354,Ren Ng,A5102564359
355,Monique Hennink,A5087469879
356,Bonnie N. Kaiser,A5079576502
357,Alba Grifoni,A5083647614
358,Daniela Weiskopf,A5071431150
359,Sydney I. Ramirez,A5019108499
360,José Mateus,A5063444034
361,Jennifer M. Dan,A5062245393
362,Carolyn Rydyznski Moderbacher,A5073359624
363,Stephen A. Rawlings,A5059158572
364,Aaron Sutherland,A5012000208
365,Lakshmanane Premkumar,A5062931415
366,Ramesh Jadi,A5019339098
367,Daniel Marrama,A5036490670
368,Aravinda M. de Silva,A5110506893
