PaperId,AuthorId,AuthorSequenceNumber
W3108284800,203,middle
W3108284800,204,middle
W3108284800,155,middle
W3108284800,156,middle
W3108284800,205,middle
W3108284800,206,middle
W3108284800,159,middle
W3108284800,160,middle
W3108284800,161,middle
W3108284800,162,middle
W3108284800,163,middle
W3016902371,207,first
W3016902371,208,middle
W3016902371,209,middle
W3016902371,210,middle
W3016902371,211,middle
W3016902371,212,middle
W3016902371,213,middle
W3016902371,214,middle
W3016902371,215,middle
W3016902371,216,middle
W3016902371,217,middle
W3016902371,218,middle
W3016902371,219,middle
W3016902371,220,middle
W3016902371,221,middle
W3016902371,222,middle
W3016902371,223,middle
W3016902371,224,middle
W3016902371,225,middle
W3016902371,226,middle
W3016902371,227,middle
W3016902371,228,middle
W3016902371,229,middle
W3016902371,230,middle
W3016902371,231,middle
W3016902371,232,middle
W3016902371,233,middle
W3016902371,234,middle
W3016902371,235,middle
W3016902371,236,middle
W3016902371,237,middle
W3016902371,238,middle
W3016902371,239,middle
W3016902371,240,middle
W3016902371,241,middle
W3016902371,242,middle
W3016902371,243,middle
W3016902371,244,middle
W3016902371,245,middle
W3016902371,246,middle
W3016902371,247,middle
W3016902371,248,last
W3022285953,249,first
W3022285953,250,middle
W3022285953,251,middle
W3022285953,252,middle
W3022285953,253,middle
W3022285953,254,middle
W3022285953,255,middle
W3022285953,256,middle
W3022285953,257,middle
W3022285953,258,middle
W3022285953,259,middle
W3022285953,260,middle
W3022285953,261,middle
W3022285953,262,middle
W3022285953,263,middle
W3022285953,264,middle
W3022285953,265,middle
W3022285953,266,middle
W3022285953,267,middle
W3022285953,268,middle
W3022285953,269,middle
W3022285953,270,middle
W3022285953,271,middle
W3022285953,272,middle
W3022285953,273,middle
W3022285953,274,middle
W3022285953,275,middle
W3022285953,276,middle
W3022285953,277,middle
W3022285953,278,middle
W3022285953,279,middle
W3022285953,280,middle
W3022285953,281,middle
W3022285953,282,middle
W3022285953,283,middle
W3022285953,284,middle
W3022285953,285,middle
W3022285953,286,middle
W3022285953,287,middle
W3022285953,288,middle
W3022285953,289,middle
W3022285953,290,middle
W3022285953,291,middle
W3022285953,292,middle
W3022285953,293,middle
W3022285953,294,middle
W3022285953,295,middle
W3022285953,296,middle
W3022285953,297,middle
W3022285953,298,middle
W3022285953,299,middle
W3022285953,300,middle
W3022285953,301,middle
W3022285953,302,middle
W3022285953,303,middle
W3022285953,304,middle
W3022285953,305,middle
W3022285953,306,middle
W3022285953,307,middle
W3022285953,308,middle
W3022285953,309,middle
W3022285953,310,middle
W3022285953,311,middle
W3022285953,312,middle
W3022285953,313,middle
W3022285953,314,middle
W3022285953,315,middle
W3022285953,316,middle
W3022285953,317,middle
W3022285953,318,middle
W3022285953,319,middle
W3022285953,320,middle
W3022285953,321,middle
W3022285953,322,middle
W3022285953,323,middle
W3022285953,324,middle
W3022285953,325,middle
W3022285953,326,middle
W3022285953,327,middle
W3022285953,328,middle
W3022285953,329,middle
W3022285953,330,middle
W3022285953,331,middle
W3022285953,332,middle
W3022285953,333,middle
W3022285953,334,middle
W3022285953,335,middle
W3022285953,336,middle
W3022285953,337,middle
W3022285953,338,middle
W3022285953,339,middle
W3022285953,340,middle
W3022285953,341,middle
W3022285953,342,middle
W3022285953,343,middle
W3022285953,344,middle
W3022285953,345,middle
W3022285953,346,middle
W3022285953,347,middle
W3022285953,348,middle
W4200150166,349,first
W4200150166,350,middle
W4200150166,351,middle
W4200150166,352,middle
W4200150166,353,middle
W4200150166,354,last
W3208645186,355,first
W3208645186,356,last
W3025320502,357,first
W3025320502,358,middle
W3025320502,359,middle
W3025320502,360,middle
W3025320502,361,middle
W3025320502,362,middle
W3025320502,363,middle
W3025320502,364,middle
W3025320502,365,middle
W3025320502,366,middle
W3025320502,367,middle
W3025320502,368,middle
W3025320502,369,middle
W3025320502,370,middle
W3025320502,371,middle
W3025320502,372,middle
W3025320502,373,middle
W3025320502,374,middle
W3025320502,375,middle
W3025320502,376,last
W3004480399,377,first
W3004480399,378,middle
W3004480399,379,middle
W3004480399,380,middle
W3004480399,381,middle
W3004480399,382,middle
W3004480399,383,middle
W3004480399,384,middle
W3004480399,385,middle
W3004480399,386,middle
W3004480399,387,middle
W3004480399,388,middle
W3004480399,389,middle
W3004480399,390,middle
W3004480399,391,middle
W3004480399,392,middle
W3004480399,393,middle
W3004480399,394,middle
W3004480399,377,middle
W3004480399,386,middle
W3004480399,383,middle
W3004480399,395,middle
W3004480399,396,middle
W3004480399,384,middle
W3004480399,397,middle
W3004480399,398,middle
W3004480399,385,middle
W3004480399,379,middle
W3004480399,380,middle
W3004480399,387,middle
W3004480399,399,middle
W3004480399,378,middle
W3004480399,389,middle
W3004480399,388,middle
W3004480399,400,middle
W3004480399,401,middle
W3004480399,390,middle
W3004480399,391,middle
W3004480399,394,middle
W3004480399,402,middle
W3004480399,381,middle
W3004480399,403,middle
W3004480399,404,middle
W3004480399,405,middle
W3004480399,406,middle
W3004480399,392,middle
W3004480399,407,middle
W3004480399,408,middle
W3004480399,409,middle
W3004480399,410,middle
W3004480399,411,middle
W3004480399,412,middle
W3004480399,393,middle
W3004480399,382,middle
W3004480399,413,middle
W3004480399,414,middle
W3004480399,398,middle
W3004480399,406,middle
W3004480399,410,middle
W3004480399,415,middle
W3004480399,416,middle
W3004480399,417,middle
W3004480399,418,middle
W3004480399,419,middle
W3004480399,420,middle
W3004480399,421,middle
W3004480399,422,middle
W3004480399,423,middle
W3004480399,424,middle
W3004480399,425,middle
W3004480399,426,middle
W3004480399,427,middle
W3004480399,428,middle
W3004480399,429,middle
W3004480399,430,middle
W3004480399,431,middle
W3004480399,377,middle
W3004480399,432,middle
W3004480399,433,middle
W3004480399,434,middle
W3004480399,435,middle
W3004480399,436,middle
W3004480399,437,middle
W3004480399,438,middle
W3004480399,439,middle
W3004480399,440,middle
W3004480399,441,middle
W3004480399,442,middle
W3004480399,443,middle
W3004480399,444,middle
W3004480399,445,middle
W3004480399,446,middle
W3004480399,447,middle
W3004480399,448,middle
W3004480399,449,middle
W3004480399,450,middle
W3004480399,451,middle
W3004480399,452,middle
W3004480399,453,middle
W3004480399,454,middle
W4283271244,455,first
W4283271244,456,middle
W4283271244,457,middle
W4283271244,458,middle
W4283271244,459,middle
W4283271244,460,middle
W4283271244,461,middle
W4283271244,462,middle
W4283271244,463,middle
W4283271244,464,middle
W4283271244,465,middle
W4283271244,466,middle
W4283271244,467,middle
W4283271244,468,middle
W4283271244,469,middle
W4283271244,470,middle
W4283271244,471,middle
W4283271244,472,middle
W4283271244,473,middle
W4283271244,474,middle
W4283271244,475,middle
W4283271244,476,middle
W4283271244,477,middle
W4283271244,478,middle
W4283271244,479,middle
W4283271244,480,middle
W4283271244,481,middle
W4283271244,482,middle
W4283271244,483,middle
W4283271244,484,middle
W4283271244,485,middle
W4283271244,486,middle
W4283271244,487,middle
W4283271244,488,middle
W4283271244,489,middle
W4283271244,490,middle
W4283271244,491,middle
W4283271244,492,middle
W4283271244,493,middle
W4283271244,494,middle
W4283271244,495,middle
W4283271244,496,middle
W4283271244,497,middle
W4283271244,498,middle
W4283271244,499,middle
W4283271244,500,middle
W4283271244,501,middle
W4283271244,502,middle
W4283271244,503,middle
W4283271244,504,middle
W4283271244,505,middle
W4283271244,506,middle
W4283271244,507,middle
W4283271244,508,middle
W4283271244,509,middle
W4283271244,510,middle
W4283271244,511,middle
W4283271244,512,middle
W4283271244,513,middle
W4283271244,514,middle
W4283271244,515,middle
W4283271244,516,last
W3006500278,415,first
W3006500278,517,middle
W3006500278,417,middle
W3006500278,418,middle
W3006500278,419,middle
W3006500278,518,middle
W3006500278,421,middle
W3006500278,519,middle
W3006500278,423,middle
W3006500278,424,middle
W3006500278,425,middle
W3006500278,426,middle
W3006500278,427,middle
W3006500278,428,middle
W3006500278,429,middle
W3006500278,430,middle
W3006500278,431,middle
W3006500278,377,middle
W3006500278,432,middle
W3006500278,433,middle
W3006500278,434,middle
W3006500278,435,middle
W3006500278,436,middle
W3006500278,437,middle
W3006500278,438,middle
W3006500278,439,middle
W3006500278,440,middle
W3006500278,441,middle
W3006500278,442,middle
W3006500278,443,middle
W3006500278,444,middle
W3006500278,445,middle
W3006500278,446,middle
W3006500278,447,middle
W3006500278,448,middle
W3006500278,449,middle
W3006500278,450,middle
W3006500278,451,middle
W3006500278,452,middle
W3006500278,453,middle
W3006500278,454,middle
W3006500278,520,middle
W3006500278,521,middle
W3006500278,522,middle
W3006500278,523,middle
W3006500278,524,middle
W3006500278,525,middle
W3006500278,526,middle
W3006500278,527,middle
W3006500278,528,middle
W3006500278,529,middle
W3006500278,530,middle
W3006500278,531,middle
W3006500278,532,middle
W3006500278,533,middle
W3006500278,534,middle
W3006500278,535,middle
W3006500278,536,middle
W3006500278,537,middle
W3006500278,538,middle
W3006500278,539,middle
W3006500278,540,middle
W3006500278,541,middle
W3006500278,542,middle
W3006500278,543,middle
W3006500278,544,middle
W3006500278,545,middle
W3006500278,546,middle
W3006500278,547,middle
W3006500278,548,middle
W3006500278,549,middle
W3006500278,550,middle
W3006500278,551,middle
W3006500278,552,middle
W3006500278,553,middle
W3006500278,554,middle
W3006500278,555,middle
W3006500278,386,middle
W3006500278,556,middle
W3006500278,557,middle
W3006500278,558,middle
W3006500278,559,middle
W3006500278,560,middle
W3006500278,561,middle
W3006500278,562,middle
W3006500278,563,middle
W3006500278,564,middle
W3006500278,565,middle
W3006500278,566,middle
W3006500278,567,middle
W3006500278,568,middle
W3006500278,569,middle
W3006500278,570,middle
W3006500278,571,middle
W3006500278,572,middle
W3006500278,573,middle
W3006500278,574,middle
W3006500278,575,middle
W3006500278,576,middle
W3006500278,577,middle
W4220999759,578,first
W4220999759,579,middle
W4220999759,580,middle
W4220999759,581,middle
W4220999759,582,middle
W4220999759,583,middle
W4220999759,584,middle
W4220999759,585,middle
W4220999759,586,middle
W4220999759,587,middle
W4220999759,588,middle
W4220999759,589,middle
W4220999759,590,middle
W4220999759,591,middle
W4220999759,592,middle
W4220999759,593,middle
W4220999759,594,middle
W4220999759,595,middle
W4220999759,596,middle
W4220999759,597,middle
W4220999759,598,middle
W4220999759,599,middle
W4220999759,600,middle
W4220999759,601,middle
W4220999759,602,middle
W4220999759,603,middle
W4220999759,604,middle
W4220999759,605,middle
W4220999759,606,middle
W4220999759,607,middle
W4220999759,608,middle
W4220999759,609,middle
W4220999759,610,middle
W4220999759,611,middle
W4220999759,612,middle
W4220999759,613,middle
W4220999759,614,middle
W4220999759,615,middle
W4220999759,616,middle
W4220999759,617,middle
W4220999759,618,middle
W4220999759,619,middle
W4220999759,620,middle
W4220999759,621,middle
W4220999759,622,middle
W4220999759,623,middle
W4220999759,624,middle
W4220999759,625,middle
W4220999759,626,middle
W4220999759,627,middle
W4220999759,628,middle
W4220999759,629,middle
W4220999759,630,middle
W4220999759,631,middle
W4220999759,632,middle
W4220999759,633,middle
W4220999759,634,middle
W4220999759,635,middle
W4220999759,636,middle
W4220999759,637,middle
W4220999759,638,middle
W4220999759,639,middle
W4220999759,640,middle
W4220999759,641,middle
W4220999759,642,middle
W4220999759,643,middle
W4220999759,644,middle
W4220999759,645,middle
W4220999759,646,middle
W4220999759,647,middle
W4220999759,648,middle
W4220999759,649,middle
W4220999759,650,middle
W4220999759,651,middle
W4220999759,652,middle
W4220999759,653,middle
W4220999759,654,middle
W4220999759,655,middle
W4220999759,656,middle
W4220999759,657,middle
W4220999759,658,middle
W4220999759,659,middle
W4220999759,660,middle
W4220999759,661,middle
W4220999759,662,middle
W4220999759,663,middle
W4220999759,664,middle
W4220999759,665,middle
W4220999759,666,middle
W4220999759,667,middle
W4220999759,668,middle
W4220999759,669,middle
W4220999759,670,middle
W4220999759,671,middle
W4220999759,672,middle
W4220999759,673,middle
W4220999759,674,middle
W4220999759,675,middle
W4220999759,676,middle
W4220999759,677,last
W3121008609,361,first
W3121008609,360,middle
W3121008609,678,middle
W3121008609,679,middle
W3121008609,680,middle
W3121008609,681,middle
W3121008609,357,middle
W3121008609,359,middle
W3121008609,682,middle
W3121008609,369,middle
W3121008609,683,middle
W3121008609,684,middle
W3121008609,363,middle
W3121008609,372,middle
W3121008609,373,middle
W3121008609,685,middle
W3121008609,686,middle
W3121008609,374,middle
W3121008609,358,middle
W3121008609,376,middle
W3121008609,375,last
W4381681857,687,first
W4381681857,688,middle
W4381681857,689,middle
W4381681857,690,middle
W4381681857,691,middle
W4381681857,692,middle
W4381681857,693,middle
W4381681857,694,middle
W4381681857,695,middle
W4381681857,696,middle
W4381681857,697,middle
W4381681857,698,middle
W4381681857,699,middle
W4381681857,700,middle
W4381681857,701,middle
W4381681857,702,middle
W4381681857,703,middle
W4381681857,704,middle
W4381681857,705,middle
W4381681857,706,middle
W4381681857,707,middle
W4381681857,708,middle
W4381681857,709,middle
W4381681857,710,middle
W4381681857,711,middle
W4381681857,712,middle
W4381681857,713,middle
W4381681857,714,middle
W4381681857,715,middle
W4381681857,716,middle
W4381681857,717,middle
W4381681857,718,middle
W4381681857,719,middle
W4381681857,720,middle
W4381681857,721,middle
W4381681857,722,middle
W4381681857,723,middle
W4381681857,724,middle
W4381681857,725,middle
W4381681857,726,middle
W4381681857,727,middle
W4381681857,728,middle
W4381681857,729,middle
W4381681857,730,middle
W4381681857,731,middle
W4381681857,732,middle
W4381681857,733,middle
W4381681857,734,middle
W4381681857,735,middle
W4381681857,736,middle
W4381681857,737,middle
W4381681857,738,middle
W4381681857,739,last
W3045910546,740,first
W3045910546,741,middle
W3045910546,742,middle
W3045910546,743,middle
W3045910546,744,middle
W3045910546,745,middle
W3045910546,746,middle
W3045910546,747,middle
W3045910546,748,middle
W3045910546,749,middle
W3045910546,750,middle
W3045910546,751,middle
W3045910546,752,middle
W3045910546,753,middle
W3045910546,754,middle
W3045910546,755,middle
W3045910546,756,middle
W3045910546,757,middle
W3045910546,758,middle
W3045910546,759,middle
W3045910546,760,middle
W3045910546,761,middle
W3045910546,762,middle
W3045910546,763,middle
W3045910546,764,middle
W3045910546,765,middle
W3045910546,766,middle
W3045910546,767,middle
W3045910546,768,middle
W3045910546,769,middle
W3045910546,770,middle
W3045910546,771,middle
W3045910546,772,middle
W3045910546,773,middle
W3045910546,774,middle
W3045910546,775,middle
W3045910546,776,middle
W3045910546,777,middle
